Time,Sales Rank,New Price,List Price
"2/2/2024, 10:05:04 AM","","799","799"
"2/17/2024, 10:21:30 AM","","749","799"
"2/20/2024, 10:31:17 AM","","799","799"
"3/2/2024, 10:42:12 AM","","749","799"
"3/5/2024, 10:44:47 AM","","799","799"
"3/9/2024, 10:48:14 AM","","749","799"
"3/12/2024, 10:51:21 AM","","799","799"
"3/18/2024, 10:58:23 AM","","749","799"
"3/21/2024, 11:00:56 AM","42831","749","799"
"3/21/2024, 5:01:22 PM","38790","749","799"
"3/21/2024, 11:02:12 PM","56449","749","799"
"3/22/2024, 5:03:05 AM","40139","749","799"
"3/22/2024, 11:03:42 AM","31154","749","799"
"3/22/2024, 5:04:26 PM","22112","749","799"
"3/22/2024, 11:05:08 PM","23630","749","799"
"3/23/2024, 5:05:47 AM","30982","749","799"
"3/23/2024, 11:06:39 AM","25429","749","799"
"3/23/2024, 5:07:25 PM","31380","749","799"
"3/23/2024, 11:08:13 PM","25034","749","799"
"3/24/2024, 5:09:05 AM","41414","749","799"
"3/24/2024, 11:09:44 AM","31621","749","799"
"3/24/2024, 5:10:40 PM","15662","749","799"
"3/24/2024, 9:11:23 PM","21951","749","799"
"3/25/2024, 3:12:13 AM","33868","749","799"
"3/25/2024, 9:13:05 AM","27241","799","799"
"3/25/2024, 3:13:45 PM","31661","799","799"
"3/25/2024, 9:14:46 PM","35489","799","799"
"3/26/2024, 3:16:58 AM","43578","799","799"
"3/26/2024, 9:17:37 AM","33198","799","799"
"3/26/2024, 3:18:20 PM","39140","799","799"
"3/26/2024, 9:19:33 PM","41082","799","799"
"3/27/2024, 3:20:25 AM","55384","799","799"
"3/27/2024, 9:21:12 AM","41237","799","799"
"3/27/2024, 3:21:48 PM","48986","799","799"
"3/27/2024, 9:22:45 PM","50315","799","799"
"3/28/2024, 3:23:26 AM","72726","799","799"
"3/28/2024, 9:25:13 AM","48876","799","799"
"3/28/2024, 3:26:14 PM","56464","799","799"
"3/28/2024, 9:27:57 PM","58975","799","799"
"3/29/2024, 3:28:54 AM","82676","799","799"
"3/29/2024, 9:29:39 AM","58547","749","799"
"3/29/2024, 3:30:40 PM","67483","749","799"
"3/29/2024, 9:31:31 PM","40033","749","799"
"3/30/2024, 3:32:27 AM","24084","749","799"
